'Elapsed time','ECG'
'0:00.564',8.108
'0:00.568',8.376
'0:00.572',8.396
'0:00.576',8.156
'0:00.580',8.080
'0:00.584',8.312
'0:00.588',8.432
'0:00.592',8.180
'0:00.596',8.052
'0:00.600',8.288
'0:00.604',8.428
'0:00.608',8.216
'0:00.612',8.032
'0:00.616',8.252
'0:00.620',8.448
'0:00.624',8.268
'0:00.628',7.976
'0:00.632',8.040
'0:00.636',8.320
'0:00.640',8.328
'0:00.644',8.284
'0:00.648',8.840
'0:00.652',9.652
'0:00.656',10.136
'0:00.660',10.076
'0:00.664',9.592
'0:00.668',9.200
'0:00.672',9.008
'0:00.676',8.640
'0:00.680',8.460
'0:00.684',8.612
'0:00.688',8.620
'0:00.692',8.316
'0:00.696',8.176
'0:00.700',8.396
'0:00.704',8.564
'0:00.708',8.308
'0:00.712',8.116
'0:00.716',8.320
'0:00.720',8.500
'0:00.724',8.320
'0:00.728',8.064
'0:00.732',8.256
'0:00.736',8.476
'0:00.740',8.344
'0:00.744',8.128
'0:00.748',8.192
'0:00.752',8.448
'0:00.756',8.404
'0:00.760',8.148
'0:00.764',8.160
'0:00.768',8.396
'0:00.772',8.460
'0:00.776',8.200
'0:00.780',8.148
'0:00.784',8.380
'0:00.788',8.484
'0:00.792',8.244
'0:00.796',8.124
'0:00.800',8.344
'0:00.804',8.492
'0:00.808',8.304
'0:00.812',8.108
'0:00.816',8.320
'0:00.820',8.504
'0:00.824',8.332
'0:00.828',8.108
'0:00.832',8.252
'0:00.836',8.480
'0:00.840',8.388
'0:00.844',8.172
'0:00.848',8.236
'0:00.852',8.476
'0:00.856',8.464
'0:00.860',8.212
'0:00.864',8.196
'0:00.868',8.472
'0:00.872',8.528
'0:00.876',8.268
'0:00.880',8.212
'0:00.884',8.452
'0:00.888',8.608
'0:00.892',8.380
'0:00.896',8.236
'0:00.900',8.480
'0:00.904',8.668
'0:00.908',8.472
'0:00.912',8.284
'0:00.916',8.504
'0:00.920',8.724
'0:00.924',8.580
'0:00.928',8.376
'0:00.932',8.528
'0:00.936',8.796
'0:00.940',8.700
'0:00.944',8.500
'0:00.948',8.568
'0:00.952',8.828
'0:00.956',8.796
'0:00.960',8.572
'0:00.964',8.556
'0:00.968',8.796
'0:00.972',8.852
'0:00.976',8.572
'0:00.980',8.464
'0:00.984',8.664
'0:00.988',8.748
'0:00.992',8.500
'0:00.996',8.332
'0:01.000',8.500
'0:01.004',8.640
'0:01.008',8.416
'0:01.012',8.216
'0:01.016',8.412
'0:01.020',8.612
'0:01.024',8.396
'0:01.028',8.180
'0:01.032',8.316
'0:01.036',8.552
'0:01.040',8.408
'0:01.044',8.172
'0:01.048',8.236
'0:01.052',8.500
'0:01.056',8.460
'0:01.060',8.228
'0:01.064',8.220
'0:01.068',8.440
'0:01.072',8.480
'0:01.076',8.256
'0:01.080',8.160
'0:01.084',8.416
'0:01.088',8.532
'0:01.092',8.292
'0:01.096',8.172
'0:01.100',8.408
'0:01.104',8.556
'0:01.108',8.340
'0:01.112',8.128
'0:01.116',8.344
'0:01.120',8.580
'0:01.124',8.372
'0:01.128',8.172
'0:01.132',8.328
'0:01.136',8.544
'0:01.140',8.456
'0:01.144',8.224
'0:01.148',8.284
'0:01.152',8.520
'0:01.156',8.484
'0:01.160',8.232
'0:01.164',8.220
'0:01.168',8.496
'0:01.172',8.552
'0:01.176',8.308
'0:01.180',8.192
'0:01.184',8.428
'0:01.188',8.596
'0:01.192',8.332
'0:01.196',8.192
'0:01.200',8.408
'0:01.204',8.588
'0:01.208',8.380
'0:01.212',8.192
'0:01.216',8.388
'0:01.220',8.580
'0:01.224',8.388
'0:01.228',8.192
'0:01.232',8.324
'0:01.236',8.564
'0:01.240',8.456
'0:01.244',8.224
'0:01.248',8.268
'0:01.252',8.516
'0:01.256',8.496
'0:01.260',8.244
'0:01.264',8.264
'0:01.268',8.492
'0:01.272',8.548
'0:01.276',8.300
'0:01.280',8.204
'0:01.284',8.416
'0:01.288',8.532
'0:01.292',8.336
'0:01.296',8.192
'0:01.300',8.424
'0:01.304',8.572
'0:01.308',8.368
'0:01.312',8.176
'0:01.316',8.340
'0:01.320',8.564
'0:01.324',8.428
'0:01.328',8.188
'0:01.332',8.328
'0:01.336',8.568
'0:01.340',8.428
'0:01.344',8.164
'0:01.348',8.268
'0:01.352',8.508
'0:01.356',8.496
'0:01.360',8.248
'0:01.364',8.228
'0:01.368',8.480
'0:01.372',8.532
'0:01.376',8.260
'0:01.380',8.188
'0:01.384',8.412
'0:01.388',8.536
'0:01.392',8.316
'0:01.396',8.208
'0:01.400',8.416
'0:01.404',8.576
'0:01.408',8.344
'0:01.412',8.164
'0:01.416',8.324
'0:01.420',8.568
'0:01.424',8.404
'0:01.428',8.192
'0:01.432',8.336
'0:01.436',8.548
'0:01.440',8.436
'0:01.444',8.240
'0:01.448',8.324
'0:01.452',8.568
'0:01.456',8.564
'0:01.460',8.336
'0:01.464',8.352
'0:01.468',8.600
'0:01.472',8.656
'0:01.476',8.412
'0:01.480',8.340
'0:01.484',8.588
'0:01.488',8.716
'0:01.492',8.484
'0:01.496',8.312
'0:01.500',8.568
'0:01.504',8.724
'0:01.508',8.508
'0:01.512',8.288
'0:01.516',8.496
'0:01.520',8.692
'0:01.524',8.516
'0:01.528',8.280
'0:01.532',8.416
'0:01.536',8.624
'0:01.540',8.496
'0:01.544',8.228
'0:01.548',8.264
'0:01.552',8.480
'0:01.556',8.488
'0:01.560',8.244
'0:01.564',8.188
'0:01.568',8.452
'0:01.572',8.524
'0:01.576',8.288
'0:01.580',8.188
'0:01.584',8.392
'0:01.588',8.520
'0:01.592',8.280
'0:01.596',8.140
'0:01.600',8.384
'0:01.604',8.576
'0:01.608',8.344
'0:01.612',8.136
'0:01.616',8.328
'0:01.620',8.516
'0:01.624',8.252
'0:01.628',7.992
'0:01.632',8.188
'0:01.636',8.568
'0:01.640',8.812
'0:01.644',9.124
'0:01.648',9.684
'0:01.652',10.356
'0:01.656',10.232
'0:01.660',9.324
'0:01.664',8.852
'0:01.668',8.952
'0:01.672',8.928
'0:01.676',8.612
'0:01.680',8.444
'0:01.684',8.588
'0:01.688',8.652
'0:01.692',8.388
'0:01.696',8.240
'0:01.700',8.472
'0:01.704',8.652
'0:01.708',8.396
'0:01.712',8.196
'0:01.716',8.400
'0:01.720',8.592
'0:01.724',8.448
'0:01.728',8.220
'0:01.732',8.336
'0:01.736',8.556
'0:01.740',8.480
'0:01.744',8.220
'0:01.748',8.284
'0:01.752',8.556
'0:01.756',8.516
'0:01.760',8.260
'0:01.764',8.232
'0:01.768',8.492
'0:01.772',8.572
'0:01.776',8.316
'0:01.780',8.200
'0:01.784',8.472
'0:01.788',8.600
'0:01.792',8.360
'0:01.796',8.212
'0:01.800',8.440
'0:01.804',8.612
'0:01.808',8.388
'0:01.812',8.204
'0:01.816',8.412
'0:01.820',8.620
'0:01.824',8.464
'0:01.828',8.200
'0:01.832',8.372
'0:01.836',8.588
'0:01.840',8.528
'0:01.844',8.292
'0:01.848',8.352
'0:01.852',8.580
'0:01.856',8.580
'0:01.860',8.324
'0:01.864',8.304
'0:01.868',8.564
'0:01.872',8.652
'0:01.876',8.416
'0:01.880',8.316
'0:01.884',8.584
'0:01.888',8.720
'0:01.892',8.496
'0:01.896',8.372
'0:01.900',8.612
'0:01.904',8.780
'0:01.908',8.600
'0:01.912',8.448
'0:01.916',8.628
'0:01.920',8.888
'0:01.924',8.748
'0:01.928',8.528
'0:01.932',8.640
'0:01.936',8.912
'0:01.940',8.836
'0:01.944',8.580
'0:01.948',8.640
'0:01.952',8.924
'0:01.956',8.924
'0:01.960',8.656
'0:01.964',8.596
'0:01.968',8.844
'0:01.972',8.860
'0:01.976',8.620
'0:01.980',8.500
'0:01.984',8.704
'0:01.988',8.804
'0:01.992',8.552
'0:01.996',8.344
'0:02.000',8.548
'0:02.004',8.716
'0:02.008',8.480
'0:02.012',8.260
'0:02.016',8.444
'0:02.020',8.636
'0:02.024',8.508
'0:02.028',8.256
'0:02.032',8.360
'0:02.036',8.616
'0:02.040',8.516
'0:02.044',8.268
'0:02.048',8.324
'0:02.052',8.564
'0:02.056',8.576
'0:02.060',8.336
'0:02.064',8.264
'0:02.068',8.520
'0:02.072',8.580
'0:02.076',8.348
'0:02.080',8.244
'0:02.084',8.484
'0:02.088',8.616
'0:02.092',8.396
'0:02.096',8.224
'0:02.100',8.436
'0:02.104',8.628
'0:02.108',8.448
'0:02.112',8.248
'0:02.116',8.416
'0:02.120',8.616
'0:02.124',8.500
'0:02.128',8.252
'0:02.132',8.380
'0:02.136',8.604
'0:02.140',8.524
'0:02.144',8.296
'0:02.148',8.340
'0:02.152',8.600
'0:02.156',8.584
'0:02.160',8.332
'0:02.164',8.300
'0:02.168',8.548
'0:02.172',8.636
'0:02.176',8.392
'0:02.180',8.268
'0:02.184',8.528
'0:02.188',8.656
'0:02.192',8.404
'0:02.196',8.260
'0:02.200',8.488
'0:02.204',8.684
'0:02.208',8.456
'0:02.212',8.248
'0:02.216',8.432
'0:02.220',8.640
'0:02.224',8.488
'0:02.228',8.272
'0:02.232',8.408
'0:02.236',8.628
'0:02.240',8.540
'0:02.244',8.300
'0:02.248',8.348
'0:02.252',8.572
'0:02.256',8.608
'0:02.260',8.324
'0:02.264',8.308
'0:02.268',8.544
'0:02.272',8.612
'0:02.276',8.348
'0:02.280',8.276
'0:02.284',8.492
'0:02.288',8.656
'0:02.292',8.412
'0:02.296',8.240
'0:02.300',8.456
'0:02.304',8.632
'0:02.308',8.440
'0:02.312',8.240
'0:02.316',8.428
'0:02.320',8.624
'0:02.324',8.492
'0:02.328',8.276
'0:02.332',8.388
'0:02.336',8.624
'0:02.340',8.540
'0:02.344',8.272
'0:02.348',8.328
'0:02.352',8.556
'0:02.356',8.576
'0:02.360',8.336
'0:02.364',8.312
'0:02.368',8.548
'0:02.372',8.620
'0:02.376',8.336
'0:02.380',8.232
'0:02.384',8.476
'0:02.388',8.628
'0:02.392',8.392
'0:02.396',8.240
'0:02.400',8.476
'0:02.404',8.636
'0:02.408',8.428
'0:02.412',8.244
'0:02.416',8.416
'0:02.420',8.648
'0:02.424',8.492
'0:02.428',8.320
'0:02.432',8.448
'0:02.436',8.692
'0:02.440',8.624
'0:02.444',8.376
'0:02.448',8.408
'0:02.452',8.680
'0:02.456',8.676
'0:02.460',8.464
'0:02.464',8.436
'0:02.468',8.692
'0:02.472',8.780
'0:02.476',8.544
'0:02.480',8.416
'0:02.484',8.648
'0:02.488',8.764
'0:02.492',8.520
'0:02.496',8.348
'0:02.500',8.600
'0:02.504',8.748
'0:02.508',8.548
'0:02.512',8.336
'0:02.516',8.480
'0:02.520',8.660
'0:02.524',8.464
'0:02.528',8.236
'0:02.532',8.332
'0:02.536',8.556
'0:02.540',8.488
'0:02.544',8.260
'0:02.548',8.300
'0:02.552',8.524
'0:02.556',8.520
'0:02.560',8.272
'0:02.564',8.252
'0:02.568',8.488
'0:02.572',8.552
'0:02.576',8.332
'0:02.580',8.220
'0:02.584',8.444
'0:02.588',8.596
'0:02.592',8.368
'0:02.596',8.188
'0:02.600',8.400
'0:02.604',8.500
'0:02.608',8.240
'0:02.612',8.124
'0:02.616',8.428
'0:02.620',8.924
'0:02.624',9.264
'0:02.628',9.584
'0:02.632',10.188
'0:02.636',10.284
'0:02.640',9.564
'0:02.644',8.844
'0:02.648',8.784
'0:02.652',8.936
'0:02.656',8.880
'0:02.660',8.540
'0:02.664',8.416
'0:02.668',8.596
'0:02.672',8.676
'0:02.676',8.432
'0:02.680',8.328
'0:02.684',8.532
'0:02.688',8.660
'0:02.692',8.444
'0:02.696',8.264
'0:02.700',8.444
'0:02.704',8.640
'0:02.708',8.440
'0:02.712',8.236
'0:02.716',8.396
'0:02.720',8.656
'0:02.724',8.468
'0:02.728',8.232
'0:02.732',8.360
'0:02.736',8.592
'0:02.740',8.548
'0:02.744',8.272
'0:02.748',8.324
'0:02.752',8.572
'0:02.756',8.588
'0:02.760',8.312
'0:02.764',8.256
'0:02.768',8.532
'0:02.772',8.620
'0:02.776',8.348
'0:02.780',8.272
'0:02.784',8.492
'0:02.788',8.676
'0:02.792',8.428
'0:02.796',8.260
'0:02.800',8.464
'0:02.804',8.672
'0:02.808',8.464
'0:02.812',8.276
'0:02.816',8.448
'0:02.820',8.668
'0:02.824',8.524
'0:02.828',8.328
'0:02.832',8.416
'0:02.836',8.656
'0:02.840',8.608
'0:02.844',8.384
'0:02.848',8.416
'0:02.852',8.672
'0:02.856',8.680
'0:02.860',8.460
'0:02.864',8.376
'0:02.868',8.660
'0:02.872',8.752
'0:02.876',8.528
'0:02.880',8.456
'0:02.884',8.700
'0:02.888',8.844
'0:02.892',8.604
'0:02.896',8.472
'0:02.900',8.688
'0:02.904',8.928
'0:02.908',8.716
'0:02.912',8.548
'0:02.916',8.736
'0:02.920',8.956
'0:02.924',8.844
'0:02.928',8.656
'0:02.932',8.716
'0:02.936',8.968
'0:02.940',8.912
'0:02.944',8.668
'0:02.948',8.672
'0:02.952',8.900
'0:02.956',8.872
'0:02.960',8.616
'0:02.964',8.532
'0:02.968',8.744
'0:02.972',8.792
'0:02.976',8.516
'0:02.980',8.396
'0:02.984',8.596
'0:02.988',8.740
'0:02.992',8.484
'0:02.996',8.300
'0:03.000',8.508
'0:03.004',8.704
'0:03.008',8.476
'0:03.012',8.264
'0:03.016',8.440
'0:03.020',8.668
'0:03.024',8.536
'0:03.028',8.280
'0:03.032',8.400
'0:03.036',8.628
'0:03.040',8.564
'0:03.044',8.296
'0:03.048',8.360
'0:03.052',8.596
'0:03.056',8.600
'0:03.060',8.356
'0:03.064',8.276
'0:03.068',8.548
'0:03.072',8.656
'0:03.076',8.380
'0:03.080',8.264
'0:03.084',8.520
'0:03.088',8.684
'0:03.092',8.456
'0:03.096',8.296
'0:03.100',8.488
'0:03.104',8.676
'0:03.108',8.468
'0:03.112',8.280
'0:03.116',8.464
'0:03.120',8.680
'0:03.124',8.532
'0:03.128',8.308
'0:03.132',8.404
'0:03.136',8.656
'0:03.140',8.604
'0:03.144',8.360
'0:03.148',8.388
'0:03.152',8.612
'0:03.156',8.628
'0:03.160',8.400
'0:03.164',8.356
'0:03.168',8.584
'0:03.172',8.688
'0:03.176',8.424
'0:03.180',8.320
'0:03.184',8.552
'0:03.188',8.704
'0:03.192',8.460
'0:03.196',8.328
'0:03.200',8.516
'0:03.204',8.700
'0:03.208',8.516
'0:03.212',8.288
'0:03.216',8.444
'0:03.220',8.676
'0:03.224',8.532
'0:03.228',8.328
'0:03.232',8.428
'0:03.236',8.656
'0:03.240',8.604
'0:03.244',8.332
'0:03.248',8.356
'0:03.252',8.580
'0:03.256',8.620
'0:03.260',8.364
'0:03.264',8.312
'0:03.268',8.564
'0:03.272',8.656
'0:03.276',8.432
'0:03.280',8.308
'0:03.284',8.532
'0:03.288',8.672
'0:03.292',8.436
'0:03.296',8.248
'0:03.300',8.484
'0:03.304',8.696
'0:03.308',8.492
'0:03.312',8.280
'0:03.316',8.436
'0:03.320',8.672
'0:03.324',8.540
'0:03.328',8.288
'0:03.332',8.400
'0:03.336',8.644
'0:03.340',8.592
'0:03.344',8.308
'0:03.348',8.320
'0:03.352',8.572
'0:03.356',8.616
'0:03.360',8.372
'0:03.364',8.320
'0:03.368',8.580
'0:03.372',8.668
'0:03.376',8.396
'0:03.380',8.284
'0:03.384',8.532
'0:03.388',8.684
'0:03.392',8.432
'0:03.396',8.272
'0:03.400',8.512
'0:03.404',8.700
'0:03.408',8.504
'0:03.412',8.324
'0:03.416',8.500
'0:03.420',8.736
'0:03.424',8.620
'0:03.428',8.396
'0:03.432',8.504
'0:03.436',8.736
'0:03.440',8.696
'0:03.444',8.464
'0:03.448',8.492
'0:03.452',8.756
'0:03.456',8.788
'0:03.460',8.556
'0:03.464',8.468
'0:03.468',8.708
'0:03.472',8.812
'0:03.476',8.524
'0:03.480',8.352
'0:03.484',8.628
'0:03.488',8.812
'0:03.492',8.548
'0:03.496',8.332
'0:03.500',8.544
'0:03.504',8.712
'0:03.508',8.512
'0:03.512',8.264
'0:03.516',8.400
'0:03.520',8.636
'0:03.524',8.492
'0:03.528',8.276
'0:03.532',8.344
'0:03.536',8.580
'0:03.540',8.532
'0:03.544',8.284
'0:03.548',8.304
'0:03.552',8.592
'0:03.556',8.608
'0:03.560',8.336
'0:03.564',8.272
'0:03.568',8.488
'0:03.572',8.612
'0:03.576',8.380
'0:03.580',8.268
'0:03.584',8.492
'0:03.588',8.592
'0:03.592',8.244
'0:03.596',8.092
'0:03.600',8.420
'0:03.604',8.840
'0:03.608',9.112
'0:03.612',9.428
'0:03.616',10.112
'0:03.620',10.508
'0:03.624',9.808
'0:03.628',8.960
'0:03.632',8.860
'0:03.636',9.068
'0:03.640',8.916
'0:03.644',8.572
'0:03.648',8.492
'0:03.652',8.708
'0:03.656',8.684
'0:03.660',8.420
'0:03.664',8.328
'0:03.668',8.604
'0:03.672',8.680
'0:03.676',8.448
'0:03.680',8.296
'0:03.684',8.544
'0:03.688',8.692
'0:03.692',8.452
'0:03.696',8.260
'0:03.700',8.488
'0:03.704',8.672
'0:03.708',8.480
'0:03.712',8.268
'0:03.716',8.424
'0:03.720',8.660
'0:03.724',8.524
'0:03.728',8.300
'0:03.732',8.368
'0:03.736',8.616
'0:03.740',8.584
'0:03.744',8.340
'0:03.748',8.344
'0:03.752',8.592
'0:03.756',8.620
'0:03.760',8.392
'0:03.764',8.320
'0:03.768',8.544
'0:03.772',8.652
'0:03.776',8.416
'0:03.780',8.292
'0:03.784',8.536
'0:03.788',8.728
'0:03.792',8.500
'0:03.796',8.312
'0:03.800',8.528
'0:03.804',8.688
'0:03.808',8.516
'0:03.812',8.344
'0:03.816',8.484
'0:03.820',8.744
'0:03.824',8.604
'0:03.828',8.364
'0:03.832',8.456
'0:03.836',8.696
'0:03.840',8.668
'0:03.844',8.440
'0:03.848',8.448
'0:03.852',8.704
'0:03.856',8.776
'0:03.860',8.548
'0:03.864',8.504
'0:03.868',8.744
'0:03.872',8.840
'0:03.876',8.612
'0:03.880',8.528
'0:03.884',8.756
'0:03.888',8.952
'0:03.892',8.748
'0:03.896',8.612
'0:03.900',8.836
'0:03.904',9.040
'0:03.908',8.848
'0:03.912',8.640
'0:03.916',8.804
'0:03.920',9.036
'0:03.924',8.912
'0:03.928',8.672
'0:03.932',8.740
'0:03.936',8.960
'0:03.940',8.916
'0:03.944',8.620
'0:03.948',8.580
'0:03.952',8.844
'0:03.956',8.840
'0:03.960',8.560
'0:03.964',8.448
'0:03.968',8.676
'0:03.972',8.748
'0:03.976',8.480
'0:03.980',8.348
'0:03.984',8.580
'0:03.988',8.752
'0:03.992',8.508
'0:03.996',8.312
'0:04.000',8.544
'0:04.004',8.724
'0:04.008',8.536
'0:04.012',8.304
'0:04.016',8.464
'0:04.020',8.680
'0:04.024',8.556
'0:04.028',8.320
'0:04.032',8.432
'0:04.036',8.688
'0:04.040',8.612
'0:04.044',8.388
'0:04.048',8.376
'0:04.052',8.608
'0:04.056',8.648
'0:04.060',8.424
'0:04.064',8.348
'0:04.068',8.584
'0:04.072',8.700
'0:04.076',8.440
'0:04.080',8.316
'0:04.084',8.540
'0:04.088',8.708
'0:04.092',8.476
'0:04.096',8.332
'0:04.100',8.532
'0:04.104',8.708
'0:04.108',8.520
'0:04.112',8.324
'0:04.116',8.500
'0:04.120',8.728
'0:04.124',8.596
'0:04.128',8.364
'0:04.132',8.444
'0:04.136',8.676
'0:04.140',8.648
'0:04.144',8.400
'0:04.148',8.404
'0:04.152',8.640
'0:04.156',8.704
'0:04.160',8.452
'0:04.164',8.392
'0:04.168',8.620
'0:04.172',8.712
'0:04.176',8.476
'0:04.180',8.344
'0:04.184',8.580
'0:04.188',8.712
'0:04.192',8.504
'0:04.196',8.308
'0:04.200',8.532
'0:04.204',8.752
'0:04.208',8.556
'0:04.212',8.320
'0:04.216',8.464
'0:04.220',8.720
'0:04.224',8.600
'0:04.228',8.344
'0:04.232',8.416
'0:04.236',8.692
'0:04.240',8.664
'0:04.244',8.388
'0:04.248',8.376
'0:04.252',8.612
'0:04.256',8.660
'0:04.260',8.408
'0:04.264',8.348
'0:04.268',8.592
'0:04.272',8.716
'0:04.276',8.448
'0:04.280',8.316
'0:04.284',8.540
'0:04.288',8.712
'0:04.292',8.472
'0:04.296',8.296
'0:04.300',8.508
'0:04.304',8.716
'0:04.308',8.520
'0:04.312',8.324
'0:04.316',8.468
'0:04.320',8.696
'0:04.324',8.556
'0:04.328',8.316
'0:04.332',8.400
'0:04.336',8.656
'0:04.340',8.644
'0:04.344',8.372
'0:04.348',8.360
'0:04.352',8.600
'0:04.356',8.644
'0:04.360',8.400
'0:04.364',8.336
'0:04.368',8.564
'0:04.372',8.684
'0:04.376',8.444
'0:04.380',8.324
'0:04.384',8.532
'0:04.388',8.692
'0:04.392',8.488
'0:04.396',8.328
'0:04.400',8.512
'0:04.404',8.712
'0:04.408',8.524
'0:04.412',8.332
'0:04.416',8.516
'0:04.420',8.692
'0:04.424',8.660
'0:04.428',8.436
'0:04.432',8.528
'0:04.436',8.764
'0:04.440',8.736
'0:04.444',8.516
'0:04.448',8.484
'0:04.452',8.756
'0:04.456',8.820
'0:04.460',8.548
'0:04.464',8.472
'0:04.468',8.712
'0:04.472',8.828
'0:04.476',8.564
'0:04.480',8.420
'0:04.484',8.676
'0:04.488',8.856
'0:04.492',8.608
'0:04.496',8.324
'0:04.500',8.524
'0:04.504',8.736
'0:04.508',8.496
'0:04.512',8.296
'0:04.516',8.416
'0:04.520',8.628
'0:04.524',8.512
'0:04.528',8.300
'0:04.532',8.368
'0:04.536',8.616
'0:04.540',8.560
'0:04.544',8.336
'0:04.548',8.324
'0:04.552',8.576
'0:04.556',8.608
'0:04.560',8.340
'0:04.564',8.296
'0:04.568',8.536
'0:04.572',8.632
'0:04.576',8.376
'0:04.580',8.292
'0:04.584',8.504
'0:04.588',8.608
'0:04.592',8.276
'0:04.596',8.080
'0:04.600',8.416
'0:04.604',8.812
'0:04.608',9.032
'0:04.612',9.360
'0:04.616',10.028
'0:04.620',10.556
'0:04.624',9.936
'0:04.628',9.048
'0:04.632',8.868
'0:04.636',9.072
'0:04.640',8.956
'0:04.644',8.616
'0:04.648',8.532
'0:04.652',8.692
'0:04.656',8.724
'0:04.660',8.460
'0:04.664',8.364
'0:04.668',8.584
'0:04.672',8.692
'0:04.676',8.456
'0:04.680',8.284
'0:04.684',8.532
'0:04.688',8.704
'0:04.692',8.472
'0:04.696',8.284
'0:04.700',8.484
'0:04.704',8.660
'0:04.708',8.492
'0:04.712',8.252
'0:04.716',8.444
'0:04.720',8.692
'0:04.724',8.548
'0:04.728',8.316
'0:04.732',8.376
'0:04.736',8.608
'0:04.740',8.588
'0:04.744',8.328
'0:04.748',8.336
'0:04.752',8.600
'0:04.756',8.668
'0:04.760',8.416
'0:04.764',8.316
'0:04.768',8.564
'0:04.772',8.668
'0:04.776',8.440
'0:04.780',8.296
'0:04.784',8.516
'0:04.788',8.684
'0:04.792',8.456
'0:04.796',8.300
'0:04.800',8.532
'0:04.804',8.704
'0:04.808',8.536
'0:04.812',8.316
'0:04.816',8.460
'0:04.820',8.720
'0:04.824',8.596
'0:04.828',8.380
'0:04.832',8.464
'0:04.836',8.688
'0:04.840',8.648
'0:04.844',8.416
'0:04.848',8.428
'0:04.852',8.720
'0:04.856',8.760
'0:04.860',8.540
'0:04.864',8.452
'0:04.868',8.716
'0:04.872',8.876
'0:04.876',8.636
'0:04.880',8.496
'0:04.884',8.760
'0:04.888',8.960
'0:04.892',8.760
'0:04.896',8.600
'0:04.900',8.796
'0:04.904',8.996
'0:04.908',8.832
'0:04.912',8.632
'0:04.916',8.796
'0:04.920',9.020
'0:04.924',8.936
'0:04.928',8.700
'0:04.932',8.716
'0:04.936',8.936
'0:04.940',8.864
'0:04.944',8.612
'0:04.948',8.564
'0:04.952',8.772
'0:04.956',8.816
'0:04.960',8.532
'0:04.964',8.424
'0:04.968',8.656
'0:04.972',8.760
'0:04.976',8.464
'0:04.980',8.312
'0:04.984',8.520
'0:04.988',8.688
'0:04.992',8.460
'0:04.996',8.272
'0:05.000',8.444
'0:05.004',8.660
'0:05.008',8.504
'0:05.012',8.276
'0:05.016',8.420
'0:05.020',8.640
'0:05.024',8.524
'0:05.028',8.292
'0:05.032',8.368
'0:05.036',8.616
'0:05.040',8.576
'0:05.044',8.324
'0:05.048',8.324
'0:05.052',8.556
'0:05.056',8.616
'0:05.060',8.344
'0:05.064',8.280
'0:05.068',8.528
